N,   px,sex, vx,           po,seo, vo,   lomin, lomax, lxmin, lxmax
100,2.5,4.8,24.3,1.052,.186,.95,-1.632,2.309,-4067.48,5.498
200,1.52,2.44,17.6,1.071,.127,.91,-1.632,2.309,-4174.673,5.498
300,1.01,1.63,14.4,1.035,.1,.89,-1.747,2.309,-4174.673,5.498
400,.76,1.22,12.5,1.051,.088,.89,-1.747,2.309,-4357.033,5.498
500,1.29,1.65,18.8,1.086,.082,.93,-2.661,2.34,-4399.165,5.83
600,1.09,1.38,17.2,1.068,.071,.89,-2.661,2.34,-5954.385,5.83
700,.93,1.18,15.9,1.051,.067,.9,-2.661,2.34,-6710.04,5.83
800,.82,1.03,14.9,1.059,.066,.96,-2.661,2.76,-6710.04,5.83
900,.73,.92,14.1,1.055,.061,.93,-2.661,2.76,-6710.04,5.83
1e3,.82,.89,14.3,1.042,.056,.91,-2.661,2.76,-6710.04,5.83
1100,.75,.81,13.6,1.037,.055,.93,-2.661,2.76,-6710.04,5.83
1200,1.08,1,17.7,1.044,.057,1,-2.661,3.122,-6710.04,6.011
1300,1,.92,17,1.038,.054,1,-2.661,3.122,-6710.04,6.011
1400,1.05,.88,16.7,1.044,.054,1.03,-2.661,3.122,-6710.04,6.011
1500,.98,.82,16.1,1.06,.055,1.09,-2.661,3.122,-6710.04,6.011
1600,.93,.77,15.6,1.049,.052,1.07,-2.661,3.122,-6710.04,6.011
1700,.88,.72,15.2,1.056,.051,1.08,-2.661,3.122,-6710.04,6.011
1800,.83,.68,14.7,1.061,.049,1.07,-2.661,3.122,-6710.04,6.011
1900,.79,.65,14.4,1.057,.047,1.05,-2.661,3.122,-6710.04,6.011
2e3,.84,.64,14.6,1.058,.046,1.05,-2.661,3.122,-6710.04,6.011
2100,.8,.61,14.2,1.053,.045,1.04,-2.661,3.122,-6710.04,6.011
2200,.77,.58,13.9,1.055,.044,1.05,-2.661,3.122,-6710.04,6.011
2300,.73,.56,13.6,1.057,.043,1.06,-2.661,3.122,-6710.04,6.011
2400,1.39,1.09,27.4,1.056,.042,1.05,-2.661,3.122,-6710.04,6.8
2500,1.34,1.05,26.8,1.061,.041,1.05,-2.661,3.122,-6710.04,6.8
2600,1.28,1.01,26.3,1.066,.04,1.05,-2.661,3.122,-6710.04,6.8
2700,1.24,.97,25.8,1.069,.04,1.05,-5.667,3.122,-6710.04,6.8
2800,1.19,.94,25.3,1.071,.039,1.05,-5.667,3.122,-6710.04,6.8
2900,1.15,.91,24.9,1.076,.038,1.05,-5.667,3.122,-6710.04,6.8
3e3,1.12,.88,24.5,1.078,.037,1.05,-5.667,3.122,-7370.953,6.8
3100,1.12,.85,24.2,1.078,.037,1.04,-5.667,3.122,-7370.953,6.8
3200,1.08,.82,23.8,1.078,.036,1.03,-5.667,3.122,-7370.953,6.8
3300,1.05,.8,23.4,1.084,.036,1.05,-5.667,3.122,-7370.953,6.8
3400,1.02,.78,23.1,1.092,.037,1.09,-5.667,3.27,-7370.953,6.8
3500,.99,.75,22.7,1.087,.036,1.08,-5.667,3.27,-7370.953,6.8
3600,.96,.73,22.4,1.088,.035,1.08,-5.667,3.27,-7370.953,6.8
3700,.96,.71,22.1,1.09,.035,1.08,-5.667,3.27,-7370.953,6.8
3800,.95,.7,21.9,1.089,.034,1.07,-5.667,3.27,-7370.953,6.8
3900,1.09,.73,23.3,1.088,.033,1.07,-5.667,3.27,-7370.953,6.8
4e3,1.06,.71,23,1.086,.033,1.06,-5.667,3.27,-7370.953,6.8
4100,1.04,.7,22.7,1.089,.032,1.06,-5.667,3.27,-7370.953,6.8
4200,1.01,.68,22.5,1.086,.032,1.05,-5.667,3.27,-7370.953,6.8
4300,1.11,.71,23.6,1.0848,.0314,1.05,-5.667,3.27,-7370.953,6.8
4400,1.09,.69,23.4,1.0897,.0314,1.06,-5.667,3.27,-7370.953,6.8
4500,1.06,.68,23.1,1.0938,.031,1.06,-5.667,3.27,-7370.953,6.8
4600,1.04,.66,22.9,1.0937,.0306,1.06,-5.667,3.27,-7370.953,6.8
4700,1.02,.65,22.6,1.0924,.0302,1.06,-5.667,3.27,-7370.953,6.8
4800,1.04,.64,22.5,1.0922,.0298,1.05,-5.667,3.27,-7370.953,6.8
4900,1.02,.62,22.3,1.09,.0294,1.05,-5.667,3.27,-7370.953,6.8
5e3,1.03,.61,22.2,1.0881,.029,1.05,-5.667,3.27,-7370.953,6.8
5100,1.01,.6,22,1.0866,.0285,1.04,-5.667,3.27,-7756.153,6.8
5200,.99,.59,21.7,1.086,.0282,1.04,-5.667,3.27,-7756.153,6.8
5300,.97,.58,21.5,1.0872,.0281,1.04,-5.667,3.27,-7756.153,6.8
5400,.96,.57,21.3,1.0884,.0278,1.04,-5.667,3.27,-7756.153,6.8
5500,.95,.56,21.2,1.0892,.0276,1.05,-5.667,3.27,-7756.153,6.8
5600,.93,.55,21,1.0901,.0274,1.05,-5.667,3.27,-7756.153,6.8
5700,.91,.54,20.8,1.092,.0274,1.06,-5.667,3.27,-7756.153,6.8
5800,.93,.54,20.8,1.0931,.0272,1.06,-5.667,3.27,-8057.69,6.8
5900,.92,.53,20.6,1.0932,.0269,1.05,-5.667,3.27,-8057.69,6.8
6e3,.9,.52,20.4,1.0914,.0266,1.05,-5.667,3.27,-8057.69,6.8
6100,.89,.51,20.3,1.0891,.0263,1.05,-5.667,3.27,-8057.69,6.8
6200,.88,.5,20.1,1.0881,.026,1.04,-5.667,3.27,-8057.69,6.8
6300,.86,.49,20,1.0877,.0257,1.04,-5.667,3.27,-8057.69,6.8
6400,.97,.54,22.2,1.0886,.0255,1.04,-5.667,3.27,-8057.69,6.8
6500,.96,.54,22,1.0884,.0252,1.04,-5.667,3.27,-8057.69,6.8
6600,.95,.53,21.9,1.0894,.025,1.04,-5.667,3.27,-8057.69,6.8
6700,.93,.52,21.7,1.0902,.0248,1.04,-5.667,3.27,-8057.69,6.8
6800,.92,.51,21.5,1.0892,.0245,1.03,-5.667,3.27,-8057.69,6.8
6900,.91,.5,21.4,1.0904,.0244,1.03,-5.667,3.27,-8057.69,6.8
7e3,.97,.52,22.1,1.0912,.0242,1.03,-5.667,3.27,-8057.69,6.8
7100,1.08,.56,24.3,1.0928,.0242,1.04,-5.667,3.27,-8057.69,6.8
7200,1.06,.56,24.1,1.0931,.024,1.04,-5.667,3.27,-8925.157,6.8
7300,1.05,.55,23.9,1.0956,.0239,1.04,-5.667,3.27,-8925.157,6.8
7400,1.03,.54,23.8,1.0943,.0236,1.04,-5.667,3.27,-8925.157,6.8
7500,1.02,.53,23.6,1.0941,.0235,1.04,-5.667,3.27,-8925.157,6.8
7600,1.02,.53,23.5,1.0921,.0232,1.03,-5.667,3.27,-8925.157,6.8
7700,1.06,.53,23.7,1.092,.023,1.03,-5.667,3.27,-8925.157,6.8
7800,1.04,.52,23.5,1.0926,.0229,1.03,-5.667,3.27,-8925.157,6.8
