N,   px,sex, vx,           po,seo, vo,   lomin, lomax, lxmin, lxmax
100,.86,.35,1.78,1.256,.189,.96,-2.111,2.021,-50.952,2.42
200,1.154,.313,2.26,1.177,.131,.94,-2.111,2.113,-50.952,2.42
300,1.144,.256,2.27,1.204,.121,1.07,-2.111,2.713,-55.74,2.42
400,1.062,.211,2.15,1.155,.097,.99,-2.111,2.713,-55.74,2.42
500,1.058,.19,2.16,1.126,.084,.96,-2.111,2.713,-55.74,2.42
600,1.056,.176,2.2,1.136,.079,.98,-2.111,2.713,-55.74,2.42
700,1.039,.161,2.17,1.128,.071,.96,-2.111,2.713,-55.74,2.42
800,1.081,.154,2.23,1.122,.066,.95,-2.111,2.713,-55.74,2.42
900,1.102,.147,2.25,1.145,.067,1.02,-2.111,2.713,-55.74,2.42
1e3,1.1,.14,2.26,1.156,.064,1.03,-2.111,2.713,-55.74,2.42
1100,1.149,.136,2.31,1.134,.059,1,-2.127,2.713,-55.74,2.42
1200,1.189,.133,2.36,1.138,.056,1,-2.127,2.713,-55.74,2.42
1300,1.184,.128,2.35,1.13,.053,.98,-2.127,2.713,-55.74,2.42
1400,1.171,.123,2.35,1.128,.052,.98,-2.127,2.713,-65.817,2.42
1500,1.205,.121,2.4,1.127,.05,.98,-2.127,2.713,-65.817,2.42
1600,1.205,.118,2.41,1.128,.048,.98,-2.127,2.713,-65.817,2.42
1700,1.193,.114,2.4,1.129,.046,.97,-2.127,2.713,-65.817,2.42
1800,1.193,.111,2.39,1.132,.045,.98,-2.127,2.713,-65.817,2.42
1900,1.186,.107,2.38,1.13,.044,.97,-2.127,2.713,-65.817,2.428
2e3,1.178,.105,2.39,1.132,.043,.98,-2.127,2.756,-65.817,2.428
2100,1.176,.102,2.38,1.131,.042,.98,-2.127,2.756,-65.817,2.428
2200,1.18,.1,2.38,1.132,.041,.98,-2.127,2.756,-65.817,2.428
2300,1.171,.097,2.38,1.134,.04,.98,-2.152,2.756,-65.817,2.428
2400,1.161,.095,2.37,1.139,.04,1.01,-2.153,2.864,-65.817,2.428
2500,1.161,.093,2.36,1.141,.039,1.01,-2.153,2.864,-65.817,2.428
2600,1.145,.09,2.34,1.134,.038,1,-2.153,2.864,-65.817,2.428
2700,1.138,.088,2.33,1.13,.037,.99,-2.153,2.864,-65.817,2.428
2800,1.132,.086,2.33,1.13,.037,.99,-2.153,2.864,-77.144,2.428
2900,1.129,.084,2.32,1.131,.036,.98,-2.153,2.864,-77.144,2.428
3e3,1.125,.083,2.31,1.13,.036,.99,-2.153,2.864,-77.144,2.428
3100,1.123,.081,2.31,1.13,.035,1,-2.153,2.864,-77.144,2.428
3200,1.127,.08,2.31,1.132,.034,.99,-2.153,2.864,-77.144,2.428
3300,1.127,.079,2.31,1.132,.034,.99,-2.153,2.864,-77.144,2.428
3400,1.128,.078,2.31,1.134,.033,.99,-2.153,2.864,-77.144,2.428
3500,1.129,.077,2.32,1.135,.033,.99,-2.153,2.864,-77.144,2.428
3600,1.133,.076,2.33,1.132,.032,.98,-2.153,2.864,-77.144,2.428
3700,1.133,.075,2.33,1.1314,.0316,.98,-2.153,2.864,-77.144,2.428
3800,1.138,.074,2.33,1.1315,.0311,.98,-3.407,2.864,-77.144,2.428
3900,1.135,.073,2.33,1.1294,.0305,.97,-3.407,2.864,-77.144,2.428
4e3,1.138,.072,2.33,1.1282,.0302,.97,-3.407,2.864,-77.144,2.428
4100,1.147,.072,2.35,1.1256,.0297,.97,-3.407,2.864,-77.144,2.428
4200,1.139,.071,2.33,1.1288,.0295,.97,-3.407,2.864,-77.144,2.428
4300,1.134,.07,2.33,1.1298,.0299,1,-3.407,3.268,-77.144,2.428
4400,1.125,.069,2.32,1.1327,.0296,1,-3.407,3.268,-77.144,2.428
4500,1.12,.068,2.31,1.1338,.0294,1.01,-3.407,3.268,-77.144,2.428
4600,1.117,.067,2.31,1.1333,.029,1,-3.407,3.268,-77.144,2.428
4700,1.116,.066,2.31,1.1336,.029,1.01,-3.407,3.268,-77.144,2.428
4800,1.115,.065,2.3,1.1336,.0286,1.01,-3.407,3.268,-77.144,2.428
4900,1.119,.065,2.31,1.1337,.0283,1.01,-3.407,3.268,-77.144,2.428
5e3,1.126,.064,2.31,1.132,.0279,1.01,-3.407,3.268,-77.144,2.428
5100,1.129,.064,2.31,1.1317,.0276,1.01,-3.407,3.268,-77.144,2.428
5200,1.125,.063,2.3,1.1331,.0276,1.02,-3.407,3.268,-77.144,2.428
